Date;Volume
30.10.2018;62137750
29.10.2018;123142500
28.10.2018;NA
26.10.2018;23335727.5
25.10.2018;79835625
24.10.2018;89740000
23.10.2018;47661375
22.10.2018;56043750
19.10.2018;35395125
18.10.2018;88458000
17.10.2018;38273375
16.10.2018;51240000
15.10.2018;210296250
14.10.2018;NA
12.10.2018;59042875
11.10.2018;135519125
10.10.2018;55760000
09.10.2018;33000000
08.10.2018;58562000
07.10.2018;NA
05.10.2018;30364500
04.10.2018;55122500
03.10.2018;43979000
02.10.2018;36894500
01.10.2018;48470000
30.09.2018;NA
28.09.2018;NA
27.09.2018;101313375
26.09.2018;108751500
25.09.2018;109836000
24.09.2018;69030000
23.09.2018;NA
21.09.2018;119880750
20.09.2018;43720125
19.09.2018;96368000
18.09.2018;34645875
17.09.2018;74295000
16.09.2018;NA
14.09.2018;67794375
13.09.2018;74788750
12.09.2018;49612000
11.09.2018;58078500
10.09.2018;61134250
09.09.2018;NA
07.09.2018;79360000
06.09.2018;193647500
05.09.2018;163576125
04.09.2018;193947750
03.09.2018;NA
02.09.2018;NA
31.08.2018;NA
30.08.2018;165627000
29.08.2018;137475000
28.08.2018;180220500
27.08.2018;80310000
26.08.2018;NA
24.08.2018;86948750
23.08.2018;113200625
22.08.2018;172765250
21.08.2018;106406000
20.08.2018;76874000
19.08.2018;NA
17.08.2018;136690125
16.08.2018;140214750
15.08.2018;218088000
14.08.2018;212433750
13.08.2018;246382500
12.08.2018;NA
10.08.2018;208414500
09.08.2018;217877000
08.08.2018;265173750
07.08.2018;174321000
06.08.2018;179200000
05.08.2018;NA
03.08.2018;212253750
02.08.2018;207916875
01.08.2018;347853000
31.07.2018;373267500
30.07.2018;330484000
29.07.2018;NA
27.07.2018;38208000
26.07.2018;260012875
25.07.2018;473550000
24.07.2018;458400000
23.07.2018;323083125
22.07.2018;NA
20.07.2018;257823750
19.07.2018;169173750
18.07.2018;257172000
17.07.2018;194881500
16.07.2018;103381625
15.07.2018;NA
13.07.2018;109692500
12.07.2018;96365500
11.07.2018;86258000
10.07.2018;100485000
09.07.2018;59472000
08.07.2018;NA
06.07.2018;66580500
05.07.2018;220735000
04.07.2018;NA
03.07.2018;53891875
02.07.2018;128355000
01.07.2018;NA
29.06.2018;NA
28.06.2018;59902500
27.06.2018;99887750
26.06.2018;98388875
25.06.2018;147500500
24.06.2018;NA
22.06.2018;123230250
21.06.2018;38232750
20.06.2018;70948750
19.06.2018;52435500
18.06.2018;92000250
17.06.2018;NA
15.06.2018;82170000
14.06.2018;143946500
13.06.2018;164027500
12.06.2018;128719000
11.06.2018;133845500
10.06.2018;NA
08.06.2018;49806250
07.06.2018;55440000
06.06.2018;54900625
05.06.2018;78349500
04.06.2018;62001125
03.06.2018;NA
01.06.2018;82445000
31.05.2018;78120000
30.05.2018;91544375
29.05.2018;187607500
28.05.2018;NA
27.05.2018;NA
25.05.2018;NA
24.05.2018;168340000
23.05.2018;179469000
22.05.2018;96671250
21.05.2018;114075000
20.05.2018;NA
18.05.2018;139456125
